Date,0
2015-01-23,99568.20255925372
2015-01-26,99138.2696088058
2015-01-27,98833.14062803546
2015-01-28,95837.96772460686
2015-01-29,95080.4249911454
2015-01-30,96493.89343787979
2015-02-02,96136.04805687159
2015-02-03,97140.69993821096
2015-02-04,98073.96328405062
2015-02-05,98001.14574242094
2015-02-06,98822.15631017467
2015-02-09,98732.93635775831
2015-02-10,98391.19108054909
2015-02-11,99263.59976407584
2015-02-12,99792.19716443444
2015-02-13,100326.73478673951
2015-02-17,100790.76610327452
2015-02-18,100615.89928329701
2015-02-19,100666.01345429757
2015-02-20,101352.94820083003
2015-02-23,101796.75761582331
2015-02-24,101572.49748538442
2015-02-25,101796.51269852942
2015-02-26,102204.02968000766
2015-02-27,102849.80618956452
2015-03-02,102176.17796789514
2015-03-03,102857.38959005593
2015-03-04,102574.57265389178
2015-03-05,102475.57099433459
2015-03-06,102619.51179589567
2015-03-09,100999.57219708659
2015-03-10,101187.451733984
2015-03-11,99167.1222324458
2015-03-12,98827.13727846819
2015-03-13,99809.63249508875
2015-03-16,99341.58759347386
2015-03-17,100291.756501494
2015-03-18,100404.97580238162
2015-03-19,101862.6906838275
2015-03-20,101865.36427861244
2015-03-23,102725.92439595988
2015-03-24,102942.11659830567
2015-03-25,102901.895879716
2015-03-26,100894.05929798864
2015-03-27,100528.27406583558
2015-03-30,100452.24716916465
2015-03-31,101342.54798336534
2015-04-01,100360.80675527567
2015-04-02,100049.947197155
2015-04-06,100089.76371318105
2015-04-07,101157.29334672
2015-04-08,101004.57219100515
2015-04-09,101197.20097083009
2015-04-10,101467.66227087978
2015-04-13,101790.45681090304
2015-04-14,101912.47819193867
2015-04-15,102141.25889309173
2015-04-16,102458.63271090752
2015-04-17,102212.81854767608
2015-04-20,100777.10758909678
2015-04-21,102744.40231929078
2015-04-22,102592.76595581404
2015-04-23,103355.46287360879
2015-04-24,103038.970975292
2015-04-27,105870.28535829227
2015-04-28,105824.15148381324
2015-04-29,105736.07497280119
2015-04-30,105476.9138671071
2015-05-01,104101.99077520205
2015-05-04,104785.54348889623
2015-05-05,104825.48662122112
2015-05-06,103642.64989003392
2015-05-07,102977.12116359852
2015-05-08,103589.22283400882
2015-05-11,104897.29769910967
2015-05-12,104198.3174057293
2015-05-13,103749.87133873874
2015-05-14,104035.50768341991
2015-05-15,105980.85124998195
2015-05-18,105485.18461322998
2015-05-19,105642.66528717722
2015-05-20,105628.7725112606
2015-05-21,105596.22650171444
2015-05-22,105857.81679072467
2015-05-26,105384.78010267859
2015-05-27,104267.77738526253
2015-05-28,105480.08976590735
2015-05-29,105162.4360054618
2015-06-01,104259.03837602006
2015-06-02,104821.16381387864
2015-06-03,104723.11628865855
2015-06-04,105433.51866605082
2015-06-05,104521.9917079432
2015-06-08,104119.29292674067
2015-06-09,103394.35966032797
2015-06-10,103538.40017062104
2015-06-11,104945.21157795175
2015-06-12,104890.90479253001
2015-06-15,104106.0707980601
2015-06-16,103247.50145941942
2015-06-17,103999.92294006245
2015-06-18,104354.8368544005
2015-06-19,105775.59904677699
2015-06-22,105062.1738453626
2015-06-23,105929.82236803659
2015-06-24,106841.8773329299
2015-06-25,106589.48549395552
2015-06-26,106224.25916507201
2015-06-29,106043.56577891254
2015-06-30,103935.0439206517
2015-07-01,104001.97553988731
2015-07-02,104986.43308508597
2015-07-06,105169.32744505652
2015-07-07,105038.00755757133
2015-07-08,105270.38664047251
2015-07-09,103949.31617895527
2015-07-10,104073.14198431943
2015-07-13,105636.13018263722
2015-07-14,107489.70270097606
2015-07-15,107977.53251606724
2015-07-16,108093.0673505313
2015-07-17,109570.33795346218
2015-07-20,111969.32774800385
2015-07-21,113035.80878326573
2015-07-22,112844.13624191002
2015-07-23,111510.12874080302
2015-07-24,110835.06479140065
2015-07-27,111286.20927902113
2015-07-28,110053.78303328043
2015-07-29,110630.50622542427
2015-07-30,111857.58775471804
2015-07-31,111380.23828766025
2015-08-03,110494.63599261643
2015-08-04,110336.48605240263
2015-08-05,109962.91533267342
2015-08-06,110906.42969737542
2015-08-07,109989.45413860057
2015-08-10,109447.43275155502
2015-08-11,110609.00476777882
2015-08-12,109993.27341216903
2015-08-13,110389.34945522915
2015-08-14,110078.82739388871
2015-08-17,110528.0690015471
2015-08-18,110881.24101133227
2015-08-19,110983.87855240793
2015-08-20,110346.3953440246
2015-08-21,107714.70628098528
2015-08-24,103214.95811555863
2015-08-25,99097.48207914286
2015-08-26,98310.07014004372
2015-08-27,103532.53907295292
2015-08-28,105998.5264704757
2015-08-31,106037.43728958438
2015-09-01,105052.4787045947
2015-09-02,101786.31687749871
2015-09-03,104324.00669965197
2015-09-04,103721.52590963068
2015-09-08,102400.40491007415
2015-09-09,104837.66249953413
2015-09-10,103851.24669246312
2015-09-11,104790.27444895015
2015-09-14,105262.58898212035
2015-09-15,105001.84871648914
2015-09-16,106394.388010062
2015-09-17,106990.89002699738
2015-09-18,106891.33407044326
2015-09-21,105782.29368716518
2015-09-22,106866.69484703068
2015-09-23,105474.74147366751
2015-09-24,105537.90056663826
2015-09-25,105803.80172125947
2015-09-28,105386.36978527848
2015-09-29,103183.24452937767
2015-09-30,102429.60372165118
2015-10-01,104270.46700545365
2015-10-02,104669.18512802062
2015-10-05,105923.93636528424
2015-10-06,107849.2514519282
2015-10-07,107554.42478333291
2015-10-08,107868.81888451043
2015-10-09,108090.50450108193
2015-10-12,108464.82158698548
2015-10-13,108900.28579283366
2015-10-14,108810.41691156701
2015-10-15,108191.05035665775
2015-10-16,110089.60102286129
